start_lng,start_lat,end_lng,end_lat,distance,line
552957.1951169058,260679.71873811353,553105.7515617324,260988.6590554472,457.4967621602118,"(552957.1951169058, 260679.71873811353) -> (552957.1951169058, 260988.6590554472) -> (553105.7515617324, 260988.6590554472)"
557756.5625603514,253386.32443876565,557751.766406311,253396.2584797116,14.730194986448623,"(557756.5625603514, 253386.32443876565) -> (557756.5625603514, 253396.2584797116) -> (557751.766406311, 253396.2584797116)"
558972.4174842108,259127.74241863843,560069.2851390202,259933.53146512527,1902.6567012962187,"(558972.4174842108, 259127.74241863843) -> (558972.4174842108, 259933.53146512527) -> (560069.2851390202, 259933.53146512527)"
557058.6877633793,254948.7769507002,557350.3288248092,257624.31674177665,2967.1808525063097,"(557058.6877633793, 254948.7769507002) -> (557058.6877633793, 257624.31674177665) -> (557350.3288248092, 257624.31674177665)"
557350.3288248092,257624.31674177665,556503.6311580719,258742.2742822813,1964.6552072418854,"(557350.3288248092, 257624.31674177665) -> (557350.3288248092, 258742.2742822813) -> (556503.6311580719, 258742.2742822813)"
556503.6311580719,258742.2742822813,557063.5220788365,254953.6853242619,4348.4798787839245,"(556503.6311580719, 258742.2742822813) -> (556503.6311580719, 254953.6853242619) -> (557063.5220788365, 254953.6853242619)"
552957.7626119651,260674.90986537188,552958.4802633313,260671.41738725454,4.210129483602941,"(552957.7626119651, 260674.90986537188) -> (552957.7626119651, 260671.41738725454) -> (552958.4802633313, 260671.41738725454)"
557389.3588609307,258606.81637355033,557338.0017745246,255397.93427829817,3260.239181658253,"(557389.3588609307, 258606.81637355033) -> (557389.3588609307, 255397.93427829817) -> (557338.0017745246, 255397.93427829817)"
557338.0017745246,255397.93427829817,557393.2600225346,258592.52700253297,3249.8509722448653,"(557338.0017745246, 255397.93427829817) -> (557338.0017745246, 258592.52700253297) -> (557393.2600225346, 258592.52700253297)"
556979.4151248531,255743.39578821044,556757.967015803,259279.80818421673,3757.860505056451,"(556979.4151248531, 255743.39578821044) -> (556979.4151248531, 259279.80818421673) -> (556757.967015803, 259279.80818421673)"
557038.7842538866,256758.15972272865,557064.4694569781,254942.49210036732,1841.3528254529228,"(557038.7842538866, 256758.15972272865) -> (557038.7842538866, 254942.49210036732) -> (557064.4694569781, 254942.49210036732)"
556198.1992722575,258770.0546787493,557325.674680619,253171.54393646214,6725.986150648678,"(556198.1992722575, 258770.0546787493) -> (556198.1992722575, 253171.54393646214) -> (557325.674680619, 253171.54393646214)"
557350.3288248092,257624.31674177665,558934.4609198164,255745.19577505905,3463.2530617248267,"(557350.3288248092, 257624.31674177665) -> (557350.3288248092, 255745.19577505905) -> (558934.4609198164, 255745.19577505905)"
556558.8792711964,253828.96047235746,557060.0671987932,254941.10654162988,1613.333996869158,"(556558.8792711964, 253828.96047235746) -> (556558.8792711964, 254941.10654162988) -> (557060.0671987932, 254941.10654162988)"
